"collection1"
"Symbol.text","Symbol.href","Opinion"
"BMRC","http://www.barchart.com/quotes/stocks/BMRC","72% Buy"
"BMTC","http://www.barchart.com/quotes/stocks/BMTC","40% Buy"
"BNCL","http://www.barchart.com/quotes/stocks/BNCL","80% Buy"
"BNCN","http://www.barchart.com/quotes/stocks/BNCN","16% Buy"
"BNFT","http://www.barchart.com/quotes/stocks/BNFT","24% Sell"
"BOBE","http://www.barchart.com/quotes/stocks/BOBE","96% Buy"
"BOFI","http://www.barchart.com/quotes/stocks/BOFI","48% Buy"
"BONT","http://www.barchart.com/quotes/stocks/BONT","40% Sell"
"BOOM","http://www.barchart.com/quotes/stocks/BOOM","72% Sell"
"BPFH","http://www.barchart.com/quotes/stocks/BPFH","72% Buy"
"BPI","http://www.barchart.com/quotes/stocks/BPI","56% Sell"
"BPTH","http://www.barchart.com/quotes/stocks/BPTH","80% Buy"
"BPZ","http://www.barchart.com/quotes/stocks/BPZ","80% Sell"
"BRC","http://www.barchart.com/quotes/stocks/BRC","8% Buy"
"BRDR","http://www.barchart.com/quotes/stocks/BRDR","80% Sell"
"BREW","http://www.barchart.com/quotes/stocks/BREW","8% Sell"
"BRKL","http://www.barchart.com/quotes/stocks/BRKL","40% Buy"
"BRKS","http://www.barchart.com/quotes/stocks/BRKS","96% Buy"
"BRLI","http://www.barchart.com/quotes/stocks/BRLI","64% Sell"
"BRS","http://www.barchart.com/quotes/stocks/BRS","24% Sell"
"BRSS","http://www.barchart.com/quotes/stocks/BRSS","100% Sell"
"BSFT","http://www.barchart.com/quotes/stocks/BSFT","80% Buy"
"BSRR","http://www.barchart.com/quotes/stocks/BSRR","48% Buy"
"BSTC","http://www.barchart.com/quotes/stocks/BSTC","16% Buy"
"BTX","http://www.barchart.com/quotes/stocks/BTX","40% Buy"
"BURL","http://www.barchart.com/quotes/stocks/BURL","72% Buy"
"BUSE","http://www.barchart.com/quotes/stocks/BUSE","96% Buy"
"BV","http://www.barchart.com/quotes/stocks/BV","40% Buy"
"BWINB","http://www.barchart.com/quotes/stocks/BWINB","16% Buy"
"BWLD","http://www.barchart.com/quotes/stocks/BWLD","80% Buy"
"BWS","http://www.barchart.com/quotes/stocks/BWS","56% Buy"
"BXS","http://www.barchart.com/quotes/stocks/BXS","24% Buy"
"BYD","http://www.barchart.com/quotes/stocks/BYD","80% Buy"
"BZH","http://www.barchart.com/quotes/stocks/BZH","56% Buy"
"CAC","http://www.barchart.com/quotes/stocks/CAC","32% Buy"
"CACB","http://www.barchart.com/quotes/stocks/CACB","100% Sell"
"CACC","http://www.barchart.com/quotes/stocks/CACC","96% Buy"
"CACI","http://www.barchart.com/quotes/stocks/CACI","96% Buy"
"CACQ","http://www.barchart.com/quotes/stocks/CACQ","40% Buy"
"CAKE","http://www.barchart.com/quotes/stocks/CAKE","72% Buy"
"CALD","http://www.barchart.com/quotes/stocks/CALD","80% Buy"
"CALL","http://www.barchart.com/quotes/stocks/CALL","88% Sell"
"CALM","http://www.barchart.com/quotes/stocks/CALM","24% Sell"
"CALX","http://www.barchart.com/quotes/stocks/CALX","64% Buy"
"CAMP","http://www.barchart.com/quotes/stocks/CAMP","64% Buy"
"CAP","http://www.barchart.com/quotes/stocks/CAP","48% Buy"
"CARA","http://www.barchart.com/quotes/stocks/CARA","64% Sell"
"CARB","http://www.barchart.com/quotes/stocks/CARB","64% Buy"
"CAS","http://www.barchart.com/quotes/stocks/CAS","40% Sell"
"CASH","http://www.barchart.com/quotes/stocks/CASH","64% Sell"
"CASS","http://www.barchart.com/quotes/stocks/CASS","64% Buy"
"CASY","http://www.barchart.com/quotes/stocks/CASY","88% Buy"
"CATM","http://www.barchart.com/quotes/stocks/CATM","32% Buy"
"CATO","http://www.barchart.com/quotes/stocks/CATO","100% Buy"
"CATY","http://www.barchart.com/quotes/stocks/CATY","48% Buy"
"CAVM","http://www.barchart.com/quotes/stocks/CAVM","56% Buy"
"CBB","http://www.barchart.com/quotes/stocks/CBB","64% Sell"
"CBF","http://www.barchart.com/quotes/stocks/CBF","96% Buy"
"CBK","http://www.barchart.com/quotes/stocks/CBK","8% Sell"
"CBM","http://www.barchart.com/quotes/stocks/CBM","64% Buy"
"CBPX","http://www.barchart.com/quotes/stocks/CBPX","72% Buy"
"CBR","http://www.barchart.com/quotes/stocks/CBR","56% Sell"
"CBRL","http://www.barchart.com/quotes/stocks/CBRL","96% Buy"
"CBU","http://www.barchart.com/quotes/stocks/CBU","72% Buy"
"CBZ","http://www.barchart.com/quotes/stocks/CBZ","Hold"
"CCBG","http://www.barchart.com/quotes/stocks/CCBG","40% Buy"
"CCC","http://www.barchart.com/quotes/stocks/CCC","48% Buy"
"CCF","http://www.barchart.com/quotes/stocks/CCF","40% Buy"
"CCG","http://www.barchart.com/quotes/stocks/CCG","24% Buy"
"CCMP","http://www.barchart.com/quotes/stocks/CCMP","64% Buy"
"CCNE","http://www.barchart.com/quotes/stocks/CCNE","96% Buy"
"CCOI","http://www.barchart.com/quotes/stocks/CCOI","72% Buy"
"CCRN","http://www.barchart.com/quotes/stocks/CCRN","80% Buy"
"CCXI","http://www.barchart.com/quotes/stocks/CCXI","40% Sell"
"CDE","http://www.barchart.com/quotes/stocks/CDE","16% Sell"
"CDI","http://www.barchart.com/quotes/stocks/CDI","88% Buy"
"CDR","http://www.barchart.com/quotes/stocks/CDR","Hold"
"CEB","http://www.barchart.com/quotes/stocks/CEB","72% Buy"
"CECE","http://www.barchart.com/quotes/stocks/CECE","56% Buy"
"CECO","http://www.barchart.com/quotes/stocks/CECO","96% Buy"
"CEMP","http://www.barchart.com/quotes/stocks/CEMP","72% Buy"
"CENTA","http://www.barchart.com/quotes/stocks/CENTA","32% Sell"
"CENX","http://www.barchart.com/quotes/stocks/CENX","40% Buy"
"CERS","http://www.barchart.com/quotes/stocks/CERS","96% Buy"
"CETV","http://www.barchart.com/quotes/stocks/CETV","72% Buy"
"CEVA","http://www.barchart.com/quotes/stocks/CEVA","80% Buy"
"CFFN","http://www.barchart.com/quotes/stocks/CFFN","56% Buy"
"CFI","http://www.barchart.com/quotes/stocks/CFI","56% Buy"
"CFNL","http://www.barchart.com/quotes/stocks/CFNL","72% Buy"
"CGI","http://www.barchart.com/quotes/stocks/CGI","64% Buy"
"CGNX","http://www.barchart.com/quotes/stocks/CGNX","24% Buy"
"CHCO","http://www.barchart.com/quotes/stocks/CHCO","40% Buy"
"CHDN","http://www.barchart.com/quotes/stocks/CHDN","8% Buy"
"CHE","http://www.barchart.com/quotes/stocks/CHE","72% Buy"
"CHEF","http://www.barchart.com/quotes/stocks/CHEF","80% Sell"
"CHFC","http://www.barchart.com/quotes/stocks/CHFC","56% Buy"
"CHFN","http://www.barchart.com/quotes/stocks/CHFN","96% Buy"
"CHGG","http://www.barchart.com/quotes/stocks/CHGG","56% Buy"
"CHMT","http://www.barchart.com/quotes/stocks/CHMT","64% Sell"
"CHSP","http://www.barchart.com/quotes/stocks/CHSP","96% Buy"
"CHUY","http://www.barchart.com/quotes/stocks/CHUY","88% Sell"
"CIA","http://www.barchart.com/quotes/stocks/CIA","80% Buy"
"CIDM","http://www.barchart.com/quotes/stocks/CIDM","8% Buy"
"CIEN","http://www.barchart.com/quotes/stocks/CIEN","80% Sell"
"CIFC","http://www.barchart.com/quotes/stocks/CIFC","16% Buy"
